342,calw
343,camburg
344,castrop-rauxel
345,celle
346,cham
347,chemnitz
348,clausthal-zellerfeld 
349,clingen
350,cloppenburg
351,coburg
352,cochem
353,coesfeld
354,colditz
355,coswig
356,coswig
357,cottbus
358,crailsheim
359,creglingen
360,creußen
361,creuzburg
362,crimmitschau
363,crivitz
364,cuxhaven 
365,dachau
366,dahlen
367,dahme mark
368,dahn
369,damme
370,dannenberg
371,dargun
372,darmstadt
373,dassel
374,dassow
375,datteln
376,daun
377,deggendorf
378,deidesheim
379,delbrück
380,delitzsch
381,delmenhorst
382,demmin
383,derenburg
384,dessau
385,detmold
386,dettelbach
387,dieburg 
388,diemelstadt
389,diepholz
390,dierdorf
391,dietenheim
392,dietfurt an der altmühl
393,dietzenbach
394,diez
395,dillenburg
396,dillingen an der donau
397,dillingen saar
398,dingelstädt
399,dingolfing
400,dinkelsbühl
401,dinklage
402,dinslaken
403,dippoldiswalde
404,dissen am teutoburger wald
405,ditzingen
406,döbeln
407,doberlug-kirchhain
408,döbern
409,dohna
410,dömitz 
411,dommitzsch
412,donaueschingen
413,donauwörth
414,donzdorf
415,dorfen
416,dormagen
417,dornburg saale
418,dornhan
419,dornstetten
420,dorsten
421,dortmund
422,dransfeld
423,drebkau
424,dreieich
425,drensteinfurt
426,dresden
427,drolshagen
428,duderstadt
429,duisburg
430,dülmen
431,düren
432,düsseldorf 
433,ebeleben
434,eberbach
435,ebermannstadt
436,ebern
437,ebersbach an der fils
438,ebersbach
439,ebersberg
440,eberswalde
441,eckartsberga
442,eckernförde
443,edenkoben
444,egeln
445,eggenfelden
446,eggesin
447,ehingen
448,ehrenfriedersdorf
449,eibelstadt
450,eibenstock
451,eichstätt
452,eilenburg
453,einbeck
454,eisenach
455,eisenberg
456,eisenberg
457,eisenhüttenstadt
458,eisfeld
459,eisleben 
460,eislingen fils
461,elbingerode
462,ellingen
463,ellrich
464,ellwangen
465,elmshorn
466,elsfleth
467,elsterberg
468,elsterwerda
469,elstra
470,elterlein
471,eltmann
472,eltville am rhein
473,elzach
474,elze
475,emden
476,emmendingen
477,emmerich am rhein
478,emsdetten
479,endingen am kaiserstuhl
480,engen
481,enger
482,ennepetal
483,ennigerloh
484,eppelheim
485,eppingen 
486,eppstein
487,erbach
488,erbach
489,erbendorf
490,erding
491,erftstadt
492,erfurt
493,erkelenz
494,erkner
495,erkrath
496,erlangen
497,erlenbach am main
498,erwitte
499,eschborn
500,eschenbach in der oberpfalz
501,eschershausen
502,eschwege
503,eschweiler
504,esens
505,espelkamp
506,essen
507,esslingen am neckar
508,ettenheim
509,ettlingen
510,euskirchen
511,eutin 
512,falkenberg elster
513,falkensee
514,falkenstein harz
515,falkenstein vogtl
516,fehmarn
517,fellbach
518,felsberg
519,feuchtwangen
520,filderstadt
521,finsterwalde
522,fladungen
523,flensburg
524,flöha
525,flörsheim am main
526,forchheim
527,forchtenberg
528,forst
529,frankenau
530,frankenberg
531,frankenberg
532,frankenthal
533,frankfurt am main 
534,frankfurt
535,franzburg
536,frauenstein
537,frechen
538,freiberg am neckar
539,freiberg
540,freiburg im breisgau
541,freilassing
542,freinsheim
543,freising
544,freital
545,freren
546,freudenberg
547,freudenberg
548,freudenstadt
549,freyburg
550,freystadt
551,freyung
552,fridingen an der donau
553,friedberg
554,friedberg 
555,friedland
556,friedland
557,friedrichroda
558,friedrichsdorf
559,friedrichshafen
560,friedrichstadt
561,friedrichsthal
562,friesack
563,friesoythe
564,fritzlar
565,frohburg
566,fröndenberg ruhr
567,fulda
568,fürstenau
569,fürstenberg havel
570,fürstenfeldbruck
571,fürstenwalde spree
572,fürth
573,furth im wald
574,furtwangen im schwarzwald
575,füssen 
576,gadebusch
577,gaggenau
578,gaildorf
579,gammertingen
580,garbsen
581,garching bei münchen
582,gardelegen
583,garding
584,gartz
585,garz rügen
586,gau-algesheim
587,gebesee
588,gedern
589,geesthacht
590,gefell
591,gefrees
592,gehrden
593,gehren
594,geilenkirchen
595,geisa
596,geiselhöring
597,geisenfeld
598,geisenheim
599,geising
600,geisingen
601,geislingen
602,geislingen an der steige
603,geithain
604,geldern
605,gelnhausen
606,gelsenkirchen
607,gemünden am main
608,gemünden
609,gengenbach
610,genthin
611,georgsmarienhütte
612,gera
613,gerabronn
614,gerbstedt
615,geretsried
616,geringswalde
617,gerlingen
618,germering
619,germersheim 
620,gernrode
621,gernsbach
622,gernsheim
623,gerolstein
624,gerolzhofen
625,gersfeld
626,gersthofen
627,gescher
628,geseke
629,gevelsberg
630,geyer
631,giengen an der brenz
632,gießen
633,gifhorn
634,gladbeck
635,gladenbach
636,glashütte
637,glauchau
638,glinde
639,glücksburg
640,glückstadt
641,gnoien
642,goch
643,goldberg
644,goldkronach
645,golßen
646,gommern
647,göppingen
648,görlitz
649,goslar
650,gößnitz
651,gotha
652,göttingen
653,grabow
654,grafenau
655,gräfenberg
656,gräfenhainichen
657,gräfenthal
658,grafenwöhr
659,grafing
660,gransee
661,grebenau
662,grebenstein
663,greding 
664,greifswald
665,greiz
666,greußen
667,greven
668,grevenbroich
669,grevesmühlen
670,griesheim
671,grimma
672,grimmen
673,gröbzig
674,gröditz
675,groitzsch
676,gronau
677,gronau
678,gröningen
679,großalmerode
680,groß-bieberau
681,großbottwar
682,großbreitenbach
683,großenehrich
684,großenhain
685,groß-gerau
686,großräschen
687,großröhrsdorf
688,großschirma
689,groß-umstadt
690,grünberg
691,grünhain-beierfeld
692,grünsfeld
693,grünstadt
694,guben
695,gudensberg
696,güglingen
697,gummersbach
698,gundelfingen an der donau
699,gundelsheim
700,güntersberge
701,günzburg
702,gunzenhausen
703,güsten
704,güstrow
705,gütersloh
706,gützkow 
707,haan
708,hachenburg
709,hadamar
710,hadmersleben
711,hagen
712,hagenbach
713,hagenow
714,haiger
715,haigerloch
716,hainichen
717,haiterbach
718,halberstadt
719,haldensleben
720,halle
721,halle
722,hallenberg
723,hallstadt
724,haltern am see
725,halver
726,hamburg
727,hameln
728,hamm
729,hammelburg
730,hamminkeln
731,hanau
732,hannover
733,hann münden
734,harburg
735,hardegsen
736,haren
737,harsewinkel
738,hartenstein
739,hartha
740,harzgerode
741,haselünne
742,haslach im kinzigtal
743,hasselfelde
744,haßfurt
745,hattersheim am main
746,hattingen
747,hatzfeld
748,hausach
749,hauzenberg
750,havelberg
751,havelsee
752,hayingen
753,hechingen
754,hecklingen
755,heide
756,heideck
757,heidelberg
758,heidenau
759,heidenheim an der brenz
760,heilbad heiligenstadt
761,heilbronn
762,heiligenhafen
763,heiligenhaus
764,heilsbronn
765,heimbach
766,heimsheim
767,heinsberg
768,heitersheim
769,heldrungen
770,helmbrechts
771,helmstedt
772,hemau
773,hemer
774,hemmingen
775,hemmoor
776,hemsbach
777,hennef
778,hennigsdorf
779,heppenheim
780,herbolzheim
